t_rel,win_s,pkt_count,byte_count,pkt_rate,byte_rate,mean_len,std_len,mean_iat,std_iat,to_uav_count,from_uav_count,unique_msgids,unique_sysids,heartbeat_count,command_long_count,param_set_count,mission_item_count,rc_override_count,manual_control_count,gps_input_count,set_mode_count,scenario,run,label_phase,attack_active,label_binary,label_class,label_multiclass,run_id,t_bin,n_phys_samples,p_roll_mean,p_roll_std,p_roll_min,p_roll_max,p_roll_last,p_pitch_mean,p_pitch_std,p_pitch_min,p_pitch_max,p_pitch_last,p_yaw_mean,p_yaw_std,p_yaw_min,p_yaw_max,p_yaw_last,p_rollspeed_mean,p_rollspeed_std,p_rollspeed_min,p_rollspeed_max,p_rollspeed_last,p_pitchspeed_mean,p_pitchspeed_std,p_pitchspeed_min,p_pitchspeed_max,p_pitchspeed_last,p_yawspeed_mean,p_yawspeed_std,p_yawspeed_min,p_yawspeed_max,p_yawspeed_last,p_vx_mean,p_vx_std,p_vx_min,p_vx_max,p_vx_last,p_vy_mean,p_vy_std,p_vy_min,p_vy_max,p_vy_last,p_vz_mean,p_vz_std,p_vz_min,p_vz_max,p_vz_last,p_rel_alt_mean,p_rel_alt_std,p_rel_alt_min,p_rel_alt_max,p_rel_alt_last,p_groundspeed_mean,p_groundspeed_std,p_groundspeed_min,p_groundspeed_max,p_groundspeed_last,p_throttle_mean,p_throttle_std,p_throttle_min,p_throttle_max,p_throttle_last,p_climb_mean,p_climb_std,p_climb_min,p_climb_max,p_climb_last,p_tilt_mag_mean,p_tilt_mag_std,p_tilt_mag_min,p_tilt_mag_max,p_tilt_mag_last,p_motor_mean_mean,p_motor_mean_std,p_motor_mean_min,p_motor_mean_max,p_motor_mean_last,p_motor_spread_mean,p_motor_spread_std,p_motor_spread_min,p_motor_spread_max,p_motor_spread_last,p_pos_err_z_mean,p_pos_err_z_std,p_pos_err_z_min,p_pos_err_z_max,p_pos_err_z_last,p_speed_mean,p_speed_std,p_speed_min,p_speed_max,p_speed_last,p_horiz_speed_mean,p_horiz_speed_std,p_horiz_speed_min,p_horiz_speed_max,p_horiz_speed_last,p_vertical_speed_mean,p_vertical_speed_std,p_vertical_speed_min,p_vertical_speed_max,p_vertical_speed_last,p_armed_mean,p_armed_std,p_armed_min,p_armed_max,p_armed_last,p_custom_mode_mean,p_custom_mode_std,p_custom_mode_min,p_custom_mode_max,p_custom_mode_last,p_cpu_load_mean,p_cpu_load_std,p_cpu_load_min,p_cpu_load_max,p_cpu_load_last
0.0,1.0,289,12273,289.0,12273.0,42.47,10.96,0.0035,0.0068,17,272,17,4,10,7,0,0,0,0,0,0,benign,0,normal_plan,0,0,benign,benign,benign::0,0,20,-0.004053552472032565,0.00012793103418316297,-0.0043789711780846,-0.0039069065824151,-0.0040744189172983,0.004192036739550481,0.00023843408851885215,0.0037891371175646,0.0046406500041484,0.0042238724417984,1.5385641694068908,0.0006602244615356522,1.537661075592041,1.5395190715789795,1.5377459526062012,0.0005557616474106796,0.007992512341525499,-0.0128618478775024,0.0112584186717867,0.0112584186717867,0.0019909715534595094,0.006144024782398061,-0.0076367459259927,0.0145158972591161,-0.0076367459259927,-0.0011632273235591048,0.007100429031180676,-0.0161474514752626,0.0099660651758313,-0.0022847924847155,0.04944294244050974,0.0020755119749289604,0.0462314262986183,0.0550176240503788,0.0550176240503788,0.00368398246791911,0.008051147787845655,-0.0065412805415689,0.0173512734472751,-0.0065412805415689,-0.0084678495069965,0.00371608227195329,-0.0139830531552433,-0.0025073012802749,-0.0139830531552433,-15.7,4.232020793899766,-21.0,-8.0,-8.0,0.05009125433862205,0.0022390356433344355,0.0467705503106117,0.0554981864988803,0.0554981864988803,0.0,0.0,0.0,0.0,0.0,0.00858683729311446,0.003556267424547241,0.0037961544003337,0.0140939345583319,0.0140939345583319,0.005834035053776935,0.00020423472926870976,0.0054880247286503,0.006183409482639,0.0058687296681839,900.0,0.0,900.0,900.0,900.0,0.0,0.0,0.0,0.0,0.0,-4.00469970703125,0.0,-4.00469970703125,-4.00469970703125,-4.00469970703125,0.05105621510255234,0.002466101536083818,0.0473228359531616,0.0571423930441724,0.0571423930441724,0.050219449129194425,0.002304765458686793,0.0469839512738103,0.0554051198651562,0.0554051198651562,-0.0084678495069965,0.00371608227195329,-0.0139830531552433,-0.0025073012802749,-0.0139830531552433,0.0,0.0,0.0,0.0,0.0,50593792.0,0.0,50593792.0,50593792.0,50593792.0,100.0,0.0,100.0,100.0,100.0
1.0,1.0,427,18926,427.0,18926.0,44.32,11.65,0.0023,0.0023,23,404,23,3,9,2,0,0,0,0,0,0,benign,0,normal_plan,0,0,benign,benign,benign::0,1,20,-0.003920131037011694,0.00025283191624287385,-0.0042195003479719,-0.0035000492352992,-0.0039203218184411,0.004808797361329149,0.00015880056367194482,0.0045422669500112,0.0051691113039851,0.0045422669500112,1.5375984013080597,0.00042532370816809623,1.5366921424865725,1.5380055904388428,1.5366921424865725,0.00038057441124692525,0.0059033871588777785,-0.0094752367585897,0.0091375913470983,0.0014974453952163,0.003200273390393684,0.008169730170621321,-0.0162228308618068,0.0150722889229655,-0.000933619798161,0.00279431326198389,0.006762935578724464,-0.0092187188565731,0.0147625468671321,0.0011920020915567,0.06129718571901317,0.0023147803386693254,0.0568499900400638,0.0647131577134132,0.0631662607192993,-0.012213901663199016,0.002319602944061198,-0.0154524659737944,-0.0074725844897329,-0.010238017886877,-0.011219895421527275,0.003017568066811055,-0.0175513345748186,-0.0071334512904286,-0.0076681827194988,-2.65,1.8781639970992947,-7.0,0.0,0.0,0.06248086187988516,0.0025242177144614805,0.0572286881506443,0.0661878585815429,0.0642019361257553,0.0,0.0,0.0,0.0,0.0,0.01135293687693769,0.003178734409021551,0.0071334512904286,0.0181382093578577,0.0081512611359357,0.006209319428605939,0.00015954071611755624,0.0059665467615579,0.0064268763771946,0.00600009268306,915.15,36.06421356414139,900.0,1001.0,1001.0,0.3,0.714142842854285,0.0,2.0,2.0,-4.00469970703125,0.0,-4.00469970703125,-4.00469970703125,-4.00469970703125,0.06362983298108069,0.0018706314044991653,0.0596344418793387,0.0664462090890211,0.064448386556454,0.06254015203483772,0.0024479624595282463,0.0573389996992584,0.0658519928939664,0.0639905735519733,-0.011219895421527275,0.003017568066811055,-0.0175513345748186,-0.0071334512904286,-0.0076681827194988,0.0,0.0,0.0,0.0,0.0,50593792.0,0.0,50593792.0,50593792.0,50593792.0,115.0,8.660254037844387,100.0,120.0,120.0
2.0,1.0,405,18137,405.0,18137.0,44.78,12.16,0.0025,0.0025,32,373,18,3,12,4,0,0,0,0,0,0,benign,0,normal_plan,0,0,benign,benign,benign::0,2,20,-0.00479314536787564,0.00022340336924902288,-0.0050491765141487,-0.0042768102139234,-0.0049804598093032,0.00520269791595632,0.00025043392006571957,0.0048078182153403,0.0056703337468206,0.0056703337468206,1.5354665994644165,0.0006223944296975213,1.5345373153686523,1.5364080667495728,1.5345373153686523,-0.004745480581186699,0.005287836768389249,-0.0113776000216603,0.003678667359054,-0.011014649644494,6.480451265812991e-05,0.0074082470583960855,-0.0140768643468618,0.010844993405044,-0.0050819409079849,-0.0008855866472004204,0.008291988386934322,-0.0200514532625675,0.0119862686842679,0.0069205597974359,0.06979022510349747,0.004376544188846718,0.0618209540843963,0.0763252899050712,0.0716535970568656,-0.015165141643956267,0.0033330585831925436,-0.0221072845160961,-0.0102587984874844,-0.0221072845160961,-0.005167463177349375,0.0020058035424224486,-0.0086170136928558,-0.0023833233863115,-0.0055633201263844,0.95,0.9205976319760985,0.0,3.0,3.0,0.07140917330980298,0.004833860129316641,0.0626663640141487,0.0784869343042373,0.0750138014554977,0.05,0.21794494717703367,0.0,1.0,1.0,0.005165563966147555,0.0019485905136780762,0.0023128327447921,0.0086170136928558,0.0055776182562112,0.00707488035233578,0.0003178086470328291,0.0064347666311746,0.0075470301915666,0.0075470301915666,1001.8625,3.028484563275831,1000.75,1014.5,1014.5,3.55,5.219913792391594,2.0,25.0,25.0,-4.004673767089844,0.0001130695831912101,-4.00469970703125,-4.004180908203125,-4.004180908203125,0.07168572397477425,0.004775286524027492,0.063121024133407,0.0785416220179731,0.0751925563516225,0.07146510327552533,0.004864100477223301,0.0626663650638191,0.0784869340490044,0.0749864654445273,-0.005167463177349375,0.0020058035424224486,-0.0086170136928558,-0.0023833233863115,-0.0055633201263844,0.75,0.4330127018922193,0.0,1.0,1.0,12943360.0,21737487.0503057,393216.0,50593792.0,393216.0,120.0,0.0,120.0,120.0,120.0
3.0,1.0,389,17867,389.0,17867.0,45.93,11.46,0.0026,0.0025,22,367,18,3,5,0,0,0,0,0,0,0,benign,0,normal_plan,0,0,benign,benign,benign::0,3,20,-0.004148679529316669,0.0004825117356504167,-0.005024179816246,-0.0035130411852151,-0.00369279156439,0.004885815270245041,0.00040953743658104857,0.0040819039568305,0.0055030575022101,0.0040819039568305,1.5335299253463746,0.0006199877668329802,1.5325974225997925,1.534508466720581,1.5330463647842407,-0.00187856589909641,0.008428699580990445,-0.0142952352762222,0.0155429346486926,0.0155429346486926,-0.0036716458562295593,0.010827961093159722,-0.0236456450074911,0.01262828707695,0.01262828707695,-0.0012440546182915604,0.010051813538649534,-0.0181032624095678,0.0118227489292621,0.0118227489292621,0.07994127348065372,0.005064912606620685,0.0719333738088607,0.0876998305320739,0.085779070854187,-0.026028714049607476,0.0019322168331966203,-0.0295495484024286,-0.0229381490498781,-0.023711672052741,-0.00818016156554217,0.0021549675866898844,-0.0122863966971635,-0.0051526129245758,-0.0098531860858201,4.8,2.821347195933177,0.0,9.0,2.0,0.08389799147844311,0.004568750344922145,0.0758957117795944,0.0903008133172988,0.088996022939682,11.3,6.775691846593969,1.0,24.0,24.0,0.008072838559746684,0.0022656699369211137,0.0044122012332081,0.0122863966971635,0.0098531860858201,0.006412954971114659,0.0005977287991961035,0.0055044209005869,0.0074515786715705,0.0055044209005869,1117.1,67.90735416727705,1018.75,1244.5,1244.5,23.6,5.94474557908074,14.0,36.0,36.0,-4.000083923339844,0.0021597925219669517,-4.003662109375,-3.99652099609375,-3.99652099609375,0.08452896000118547,0.004888947948602219,0.0760979117756474,0.0915928601569479,0.0895398104989405,0.08411349119329416,0.0047337682308838305,0.0758957124605027,0.091029061673021,0.0889960245637094,-0.00818016156554217,0.0021549675866898844,-0.0122863966971635,-0.0051526129245758,-0.0098531860858201,1.0,0.0,1.0,1.0,1.0,393216.0,0.0,393216.0,393216.0,393216.0,120.0,0.0,120.0,120.0,120.0
4.0,1.0,390,17909,390.0,17909.0,45.92,11.35,0.0026,0.0025,22,368,16,3,5,0,0,0,0,0,0,0,benign,0,normal_plan,0,0,benign,benign,benign::0,4,20,-0.0028493918012827304,0.0007169818585713372,-0.0040261698886752,-0.0019613930489867,-0.0019613930489867,0.00423704199492926,0.00011507278846163868,0.0039538517594337,0.0043708854354918,0.0043452945537865,1.5325132608413696,0.00023283928406897425,1.5322409868240356,1.5329899787902832,1.5324002504348757,0.0010562015057075744,0.00523301254670946,-0.0049671507440507,0.0130517240613698,0.0061241365037858,-0.00028788800700566984,0.006541628492200711,-0.0094698229804635,0.0111714899539947,0.0003838601405732,-0.0022194925724761403,0.006184070840920837,-0.0117188328877091,0.0077484268695116,0.006852182559669,0.0823322311043739,0.004640370678874502,0.0739923417568206,0.0888978838920593,0.0742232352495193,-0.02077393652871247,0.003790861084755276,-0.0265161711722612,-0.0139799630269408,-0.0175002422183752,-0.00687559458892788,0.002727959957352215,-0.0106020793318748,-0.0020163662265986,-0.0042969207279384,4.85,1.5898113095584647,2.0,7.0,7.0,0.08511978611350055,0.005288826642172152,0.0757675990462303,0.0928367972373962,0.0762403383851051,43.8,12.282507887235408,25.0,65.0,65.0,0.006710424774791996,0.0026188158169885836,0.0020163662265986,0.0106020793318748,0.0035813730210065,0.005141266035388341,0.00040773372381795666,0.0046271894373503,0.0058369140069668,0.0047674571263704,1442.5,122.43722881542199,1254.75,1662.25,1662.25,45.85,9.753332763727485,20.0,61.0,56.0,-3.99346923828125,0.0015090626095194883,-3.99615478515625,-3.991546630859375,-3.991546630859375,0.08526716117958058,0.0055030151898677465,0.0753664608812442,0.0928205007608429,0.0763793863313229,0.08495608028027479,0.005340487687073042,0.075301434281777,0.0924374810926921,0.076258423328884,-0.00687559458892788,0.002727959957352215,-0.0106020793318748,-0.0020163662265986,-0.0042969207279384,1.0,0.0,1.0,1.0,1.0,393216.0,0.0,393216.0,393216.0,393216.0,105.0,8.660254037844387,100.0,120.0,100.0
5.0,1.0,389,17909,389.0,17909.0,46.04,11.31,0.0026,0.0025,22,367,18,3,5,0,0,0,0,0,0,0,benign,0,normal_plan,0,0,benign,benign,benign::0,5,20,0.01589353792369364,0.014379847095519847,-0.0020141599234193,0.0368473678827285,-0.0020141599234193,-0.003800422255881129,0.006900378663228809,-0.0139168547466397,0.0045043900609016,0.0036067157052457,1.531730878353119,0.0003277119285759148,1.5312663316726685,1.5322784185409546,1.5313400030136108,-0.0035996531834825802,0.09344624753334109,-0.105192095041275,0.1972014904022216,-0.0647036433219909,0.004879574675578601,0.050835997576433915,-0.1040767803788185,0.0527917668223381,0.0402497351169586,-0.0018632057996001102,0.004902169862178808,-0.0096957245841622,0.0059771230444312,-0.0051285857334733,-0.04061674619442783,0.07873824738338814,-0.1310208439826965,0.0716578513383865,-0.1273428946733474,0.027205540495924635,0.03438409828608397,-0.016788225620985,0.0670996978878974,0.0632628574967384,-0.7262986726127565,0.5965798389395174,-1.7818806171417236,-0.0043991170823574,-1.7818806171417236,192.75,204.97923675338438,7.0,655.0,655.0,0.08665096687618641,0.04635228295530913,0.0056059532798826,0.1466609537601471,0.1442817747592926,78.7,4.026164427839479,68.0,82.0,79.0,0.7187082600547001,0.5873189292141684,0.0043991170823574,1.7537479400634766,1.7537479400634766,0.01850661311528589,0.013377154265481365,0.0041310093652247,0.0393879088798098,0.0041310093652247,1790.3,42.83190983367424,1678.5,1828.75,1797.0,16.7,15.244999180059013,2.0,55.0,11.0,-3.8009735107421876,0.21073260844576966,-3.9913330078125,-3.316619873046875,-3.316619873046875,0.7416073411504487,0.5858392756899857,0.0701022366830505,1.7875449464860484,1.7875449464860484,0.08737669749741811,0.04622934193234171,0.0043642830541669,0.1468485071362046,0.1421914271763242,-0.7262986726127565,0.5965798389395174,-1.7818806171417236,-0.0043991170823574,-1.7818806171417236,1.0,0.0,1.0,1.0,1.0,393216.0,0.0,393216.0,393216.0,393216.0,114.0,9.16515138991168,100.0,120.0,120.0
6.0,1.0,387,17802,387.0,17802.0,46.0,11.22,0.0026,0.0027,22,365,15,3,5,0,0,0,0,0,0,0,benign,0,normal_plan,0,0,benign,benign,benign::0,6,20,-0.016944993007928087,0.004123394725484066,-0.0208761803805828,-0.0073459446430206,-0.0198094639927148,0.009949471196159677,0.0019331210173163793,0.0054454607889056,0.0114000681787729,0.0111970668658614,1.5422704577445985,0.014068376298258965,1.5307773351669312,1.564932107925415,1.564932107925415,-0.011797984410077312,0.014379523570828615,-0.0415069423615932,0.0074108424596488,0.0029798515606671,0.00782335175899784,0.007885524181687451,-0.0010302113369107,0.0288209524005651,-0.0010302113369107,0.0014481659396551497,0.006729594270521381,-0.0106549905613064,0.010190226137638,0.0032455658074468,-0.0482595604844391,0.046720463596422436,-0.1241787001490593,0.0306275151669979,0.0306275151669979,0.02398086249304467,0.02532220678316649,-0.0145423486828804,0.0634683221578598,-0.0145423486828804,-1.7584613978862762,0.2516750725270664,-2.0387632846832275,-1.2621986865997314,-1.2621986865997314,1619.75,513.0880894154532,751.0,2390.0,2390.0,0.06112808182369913,0.04342523969488718,0.0050505516119301,0.1394581645727157,0.0323516651988029,70.1,4.1340053217188775,67.0,78.0,67.0,1.7638523280620575,0.2513220316140792,1.272607445716858,2.051194906234741,1.272607445716858,0.019660410040553255,0.00450914438546785,0.0091441755178819,0.0237753657546764,0.0227549812146096,1706.275,41.445890930223705,1673.0,1790.0,1675.5,6.75,3.096368841078207,2.0,14.0,10.0,-2.377522277832031,0.5232265852832757,-3.24737548828125,-1.598663330078125,-1.598663330078125,1.7599541340752674,0.2526189992026175,1.262653970430777,2.0404606162378176,1.262653970430777,0.06154855420180253,0.044043822435880946,0.0050505513893377,0.1394581567648298,0.0339046396606594,-1.7584613978862762,0.2516750725270664,-2.0387632846832275,-1.2621986865997314,-1.2621986865997314,1.0,0.0,1.0,1.0,1.0,393216.0,0.0,393216.0,393216.0,393216.0,106.0,9.16515138991168,100.0,120.0,100.0
7.0,1.0,390,17927,390.0,17927.0,45.97,11.39,0.0026,0.0027,22,368,18,3,5,0,0,0,0,0,0,0,benign,0,normal_plan,0,0,benign,benign,benign::0,7,20,-0.013151674345135641,0.004566062976420377,-0.0193743575364351,-0.0051243593916296,-0.0051243593916296,0.008146987203508576,0.0015854797286776578,0.0059996494092047,0.0107052447274327,0.0059996494092047,1.5683482229709624,0.0004813577327194226,1.5673677921295166,1.568828821182251,1.5687260627746582,0.021416589478030747,0.009395278306915453,0.0068432516418397,0.0336990654468536,0.0102538997307419,-0.007579567132052005,0.009340659708334798,-0.0237785708159208,0.0051577975973486,-0.0078853378072381,0.0005396605818532305,0.004969424841258893,-0.0058081224560737,0.0105336802080273,0.0043578096665441,0.08625681083649393,0.027850947611949284,0.0369062721729278,0.1190071552991867,0.1179000735282898,-0.03690026151016349,0.009849014043651336,-0.049723133444786,-0.0178196132183074,-0.049723133444786,-0.8022105365991592,0.2323283503563374,-1.2042194604873655,-0.4894590377807617,-0.4894590377807617,2884.75,237.39795176033007,2459.0,3218.0,3218.0,0.09442721474915738,0.028508570488301705,0.0409830622375011,0.1286333948373794,0.1286333948373794,68.35,0.7262919523166974,67.0,69.0,69.0,0.8001624807715416,0.2259941426150079,0.4929366409778595,1.2042194604873655,0.4929366409778595,0.01553181504416275,0.0046330699415437345,0.0078901744092227,0.0221352206816161,0.0078901744092227,1687.95,6.654697588921679,1676.5,1697.5,1697.5,5.35,2.4140215409146624,2.0,11.0,11.0,-1.116729736328125,0.2466521869607151,-1.539703369140625,-0.77618408203125,-0.77618408203125,0.8096244969740793,0.22737837712762846,0.5059080618084805,1.2049166446511703,0.5059080618084805,0.09385522494326733,0.02942349106692521,0.0409830640747163,0.1282840984171969,0.1279563102685605,-0.8022105365991592,0.2323283503563374,-1.2042194604873655,-0.4894590377807617,-0.4894590377807617,1.0,0.0,1.0,1.0,1.0,393216.0,0.0,393216.0,393216.0,393216.0,100.0,0.0,100.0,100.0,100.0
8.0,1.0,387,17802,387.0,17802.0,46.0,11.22,0.0026,0.0027,22,365,15,3,5,0,0,0,0,0,0,0,benign,0,normal_plan,0,0,benign,benign,benign::0,8,20,0.0009999291301937547,0.0022744823248259,-0.0033315024338662,0.0036796312779188,0.0032866152469068,0.00372876693727442,0.001072779183723652,0.0024097564164549,0.0055333273485302,0.0027383053675293,1.5696522295475006,0.0004243831233902893,1.569143295288086,1.5705543756484983,1.5705543756484983,0.007318674668203999,0.005054534732938119,0.0007902386132627,0.0152210658416152,0.0007902386132627,-0.0028812292730435755,0.007179801550412956,-0.0193288195878267,0.0071508199907839,-0.0089191170409321,0.0030747538461582697,0.007197655565087171,-0.0108991712331771,0.0133650135248899,0.0133650135248899,0.09641432799398894,0.016136172698367632,0.0662333443760871,0.1153683736920356,0.0662333443760871,-0.04524448644369835,0.0034031040038413527,-0.0491833947598934,-0.0391635112464427,-0.0419564321637153,-0.3374690853059292,0.0785992787868158,-0.4707142114639282,-0.2302205562591552,-0.2302205562591552,3425.95,102.42679092893617,3246.0,3573.0,3573.0,0.1065112259238958,0.01583808454215866,0.0788058713078498,0.1257620602846145,0.0788058713078498,69.65,0.47696960070847283,69.0,70.0,70.0,0.33558573201298714,0.07550903795438871,0.232161059975624,0.4707142114639282,0.232161059975624,0.004502420470553279,0.0009776993746751894,0.0033825996885444,0.006458840454203,0.0042778681684971,1701.0,1.9732587260671115,1697.75,1704.0,1704.0,6.5,3.1064449134018135,2.0,11.0,3.0,-0.5750839233398437,0.1066882403040722,-0.75238037109375,-0.423492431640625,-0.423492431640625,0.3540429003048931,0.07957134087739542,0.243205062923091,0.4870481083696686,0.243205062923091,0.10660940952895229,0.015785347072114923,0.0784040694552891,0.1250759409013769,0.0784040694552891,-0.3374690853059292,0.0785992787868158,-0.4707142114639282,-0.2302205562591552,-0.2302205562591552,1.0,0.0,1.0,1.0,1.0,393216.0,0.0,393216.0,393216.0,393216.0,86.0,9.16515138991168,80.0,100.0,80.0
9.0,1.0,388,17844,388.0,17844.0,45.99,11.29,0.0026,0.0026,21,367,18,3,5,0,0,0,0,0,0,0,benign,0,normal_plan,0,0,benign,benign,benign::0,9,20,0.0036285229725762694,0.0005873182886792534,0.0021728079300373,0.004432588815689,0.0021728079300373,0.0025436379713937103,0.0005119087197876269,0.0017287189839407,0.0033828667365014,0.0030650440603494,1.5700931191444396,0.00024422248355320756,1.569521427154541,1.5704725980758667,1.569521427154541,-0.0051753240812104,0.007065313502176006,-0.0198690313845872,0.0092421881854534,-0.0106640458106994,-0.0010628992284182404,0.007660222678190409,-0.0144619382917881,0.0125380121171474,-0.0044434773735702,-0.000668816328834505,0.006479680975630154,-0.0134892929345369,0.0102190766483545,-0.0134892929345369,0.0387256683316081,0.016262280848640686,0.0142120206728577,0.0615939870476722,0.0142120206728577,-0.02926334673538798,0.005937231162505753,-0.0403290912508964,-0.0227527413517236,-0.0237272679805755,-0.17036984078586098,0.03195872420968674,-0.2218697220087051,-0.124446801841259,-0.124446801841259,3677.8,52.91086844874123,3586.0,3755.0,3755.0,0.048315430246293506,0.015553090182989367,0.0274956841021776,0.0736223831772804,0.0274956841021776,70.0,0.0,70.0,70.0,70.0,0.16915945671498772,0.031472638426938745,0.1247649863362312,0.2218697220087051,0.1247649863362312,0.00447798337308898,0.0004369568765681648,0.0036390088288996,0.0051478248546868,0.0037570719174267,1704.1375,0.6045401144671874,1703.0,1705.0,1704.25,6.3,3.7696153649941526,1.0,15.0,14.0,-0.32328948974609373,0.053490346551629105,-0.412322998046875,-0.242340087890625,-0.242340087890625,0.17739995245566278,0.03510317526095587,0.1274832195465166,0.2337657553744176,0.1274832195465166,0.04898078228625316,0.016019248071898525,0.0276579966271561,0.0736223800318351,0.0276579966271561,-0.17036984078586098,0.03195872420968674,-0.2218697220087051,-0.124446801841259,-0.124446801841259,1.0,0.0,1.0,1.0,1.0,393216.0,0.0,393216.0,393216.0,393216.0,94.0,9.16515138991168,80.0,100.0,100.0
